지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
904,사상,2023-03-16 10:00,12,310.8,4.8,0,22
904,사상,2023-03-16 11:00,13.1,303.9,4,0,19
904,사상,2023-03-16 12:00,15.2,296.7,2.9,0,17
904,사상,2023-03-16 13:00,16.2,248.4,1.6,0,14
904,사상,2023-03-16 14:00,17,270.4,2.3,0,10
904,사상,2023-03-16 15:00,15.8,207.2,4.8,0,40
904,사상,2023-03-16 16:00,15.6,185.3,4.5,0,43
904,사상,2023-03-16 17:00,13.8,138.6,3.5,0,48
904,사상,2023-03-16 18:00,12.6,162.1,3.1,0,59
904,사상,2023-03-16 19:00,11.8,141.3,2.4,0,61
904,사상,2023-03-16 20:00,11.2,123.3,1.9,0,62
904,사상,2023-03-16 21:00,10.9,129,1.5,0,64
904,사상,2023-03-16 22:00,10.7,104.4,1.7,0,64
904,사상,2023-03-16 23:00,9.1,0,.4,0,74
904,사상,2023-03-17 00:00,9,0,.4,0,75
904,사상,2023-03-17 01:00,8.5,355.8,1.6,0,77
904,사상,2023-03-17 02:00,9.2,28.1,2.6,0,72
904,사상,2023-03-17 03:00,8.8,25.9,2.3,0,75
904,사상,2023-03-17 04:00,8.7,25.3,3.4,0,75
904,사상,2023-03-17 05:00,8.6,24,2.8,0,73
904,사상,2023-03-17 06:00,8.9,31.1,2.7,0,61
904,사상,2023-03-17 07:00,8.7,30.8,3.3,0,66
904,사상,2023-03-17 08:00,9.8,29,3.6,0,63
904,사상,2023-03-17 09:00,10.9,30.1,4.5,0,53
904,사상,2023-03-17 10:00,12.5,52.1,4.1,0,50
904,사상,2023-03-17 11:00,13.5,61.9,3.8,0,48
904,사상,2023-03-17 12:00,13.3,70.6,4.2,0,50
904,사상,2023-03-17 13:00,13.1,62.4,4.4,0,53
904,사상,2023-03-17 14:00,12.3,87.8,3.8,0,54
904,사상,2023-03-17 15:00,12.3,93.4,2.6,0,54
